bs,read,write
4k,,2647
8k,,3782
16k,,5620
32k,,13117
64k,,27808
128k,,64248
256k,,115221
512k,,218972
1024k,,472150
4k,,1662
8k,,3005
16k,,6107
32k,,10857
64k,,24247
128k,,53829
256k,,107981
512k,,183369
1024k,,323935
