bs,read,write
4k,,33222
8k,,46524
16k,,62662
32k,,53717
64k,,50730
128k,,43962
256k,,49194
512k,,52128
1024k,,48936
4k,,52906
8k,,58572
16k,,57669
32k,,64900
64k,,58166
128k,,52510
256k,,52554
512k,,62236
1024k,,71421
