bs,read,write
4k,135,15
8k,123,13
16k,150,16
32k,160,17
64k,169,19
128k,187,20
256k,178,19
512k,165,19
1024k,185,19
4k,133,15
8k,155,17
16k,138,15
32k,174,19
64k,184,20
128k,158,17
256k,187,20
512k,168,19
1024k,155,15
