bs,read,write
4k,,475
8k,,628
16k,,1205
32k,,2390
64k,,4852
128k,,9430
256k,,18850
512k,,38064
1024k,,76417
4k,,488
8k,,662
16k,,1249
32k,,2675
64k,,4927
128k,,10019
256k,,19613
512k,,39474
1024k,,78282
