bs,read,write
4k,389,433
8k,481,268
16k,875,527
32k,1694,1029
64k,3176,1925
128k,6302,3829
256k,12280,7561
512k,24338,15390
1024k,51412,31515
4k,387,429
8k,470,263
16k,841,527
32k,1654,1016
64k,3258,1955
128k,6302,3903
256k,12350,7844
512k,25454,15918
1024k,51630,30447
