bs,read,write
4k,,185047
8k,,279742
16k,,291758
32k,,294305
64k,,290110
128k,,298653
256k,,299007
512k,,296426
1024k,,295722
4k,,179922
8k,,265447
16k,,281403
32k,,263022
64k,,285707
128k,,281086
256k,,287316
512k,,285810
1024k,,288682
