bs,read,write
4k,195,21
8k,335,37
16k,367,41
32k,379,41
64k,405,44
128k,408,46
256k,419,46
512k,423,45
1024k,400,45
4k,196,22
8k,343,38
16k,381,42
32k,388,42
64k,395,43
128k,407,46
256k,415,46
512k,405,43
1024k,399,46
