bs,read,write
4k,306,
8k,423,
16k,476,
32k,506,
64k,524,
128k,533,
256k,527,
512k,513,
1024k,503,
4k,233,
8k,410,
16k,467,
32k,501,
64k,519,
128k,530,
256k,526,
512k,513,
1024k,505,
