bs,read,write
4k,376,483
8k,462,245
16k,847,497
32k,1629,994
64k,3184,1883
128k,6176,3635
256k,11990,7529
512k,24482,15579
1024k,50047,29420
4k,380,421
8k,465,249
16k,831,500
32k,1620,979
64k,3160,1890
128k,6172,3597
256k,12074,7521
512k,24241,15492
1024k,50935,30308
