bs,read,write
4k,199,22
8k,350,39
16k,380,42
32k,394,43
64k,405,44
128k,417,47
256k,428,47
512k,420,45
1024k,412,47
4k,200,22
8k,348,38
16k,386,43
32k,397,43
64k,408,44
128k,418,47
256k,426,47
512k,424,46
1024k,404,46
