bs,read,write
4k,1479,1193
8k,1844,1327
4k,1629,1215
8k,1515,1150
16k,1738,1071
32k,3451,654
64k,5959,216
128k,12120,343
256k,23912,2223
512k,44652,24732
1024k,87191,68176
