bs,read,write
4k,,62616
8k,,78934
16k,,81542
32k,,84762
64k,,84966
128k,,78350
256k,,64151
512k,,63773
4k,,66392
8k,,129459
16k,,231661
32k,,245270
64k,,256830
128k,,257458
256k,,258985
512k,,260631
1024k,,261630
