bs,read,write
4k,,1403
8k,,2236
16k,,4312
32k,,8329
64k,,16603
128k,,36116
256k,,88492
512k,,177875
4k,,1323
8k,,1357
16k,,1517
32k,,2873
64k,,5486
128k,,10948
256k,,21780
512k,,43279
1024k,,86397
