bs,read,write
4k,429,
8k,734,
16k,1368,
32k,2627,
64k,5138,
128k,10168,
256k,20255,
512k,40475,
1024k,81025,
4k,460,
8k,826,
16k,1363,
32k,2620,
64k,5134,
128k,10163,
256k,20256,
512k,40488,
1024k,81054,
